index,artist_name,track_name,track_id,track_popularity,artist_id
151,Marcus Santoro,Give Into You,5GvdWteb7cK1tKP1GsNWZI,34,0cIOMm0D5wSyXMTcvnElUz
152,Marcus Santoro,Love Is Like (feat. Felix Samuel),5pBJEcwV19GHuxQnMcrBZY,29,0cIOMm0D5wSyXMTcvnElUz
153,Marc Benjamin,Losing Focus - Forbid Remix,6nb05BB7biunHmwTKok5m8,40,05KjvP5zdwtEIgEazqblZw
154,CLMD,Burning My Bridges - CLMD & Marcus Santoro Remix,1GrLGkwsCjDmIY5oGRElR4,35,7LiVklVR1325BIOqD9kykr
155,Marcus Santoro,Talk - VIP Mix,2iyjWSne2dVva9oatiyN7V,24,0cIOMm0D5wSyXMTcvnElUz
156,Nicky Romero,My Way - Marcus Santoro Remix,4j5oym5wl44NwTOVT9ERhS,32,5ChF3i92IPZHduM7jN3dpg
157,Marcus Santoro,Symphony,1t7F3CE25tvAg8SE4omXpB,15,0cIOMm0D5wSyXMTcvnElUz
158,Marcus Santoro,It's Not About You,3leIqxLdTlukiuQVrE9B42,28,0cIOMm0D5wSyXMTcvnElUz
159,MEDUZA,Lose Control - Marcus Santoro Remix,6k2nsvAIW77vHi4JsBRqwP,31,0xRXCcSX89eobfrshSVdyu
160,Marcus Santoro,Talk,0SADUQhX4EJW80K0kS8yfQ,20,0cIOMm0D5wSyXMTcvnElUz
161,Sem Thomasson,Grey Zone - Marcus Santoro Remix,53azu5ImkeoIcIknZV6Tbs,34,33IPzv8gRj1LFh0NGkFMBQ
162,Marcus Santoro,Halo,6y7sOvl5gYj6ROwJeXJV5d,8,0cIOMm0D5wSyXMTcvnElUz
163,Marcus Santoro,Midnight Children - Radio Edit,6YsldeFYS5YSG8YBOCTFEi,7,0cIOMm0D5wSyXMTcvnElUz
164,Marcus Santoro,It's Not About You - BYOR Remix,7bwYzDoDPFpE4d2ykvzID3,14,0cIOMm0D5wSyXMTcvnElUz
165,Marcus Santoro,It's Not About You (Tritonia 336) - BYOR Remix,7l5qb7SKgpVlcSGYhoNcUI,20,0cIOMm0D5wSyXMTcvnElUz
166,Marc Benjamin,Losing Focus - Marcus Santoro & David Pietras Mix,01jdO8lv02Qqrejkopan7M,23,05KjvP5zdwtEIgEazqblZw
167,Marcus Santoro,It’s Not About You (RES002),0A19iZlBE3z6cGkY4lafhi,6,0cIOMm0D5wSyXMTcvnElUz
168,JaySounds,Believe Me,0zorY38P293RJagSqQJC0E,20,7Cye4LP81AKTIKgABMgmUY
169,ManyFew,For You - Marcus Santoro Sunset Mix,7bBZ0pn54kTUdXckZJJRc5,32,7oZdp9UWjuC68LeJSYeKZL
170,Marcus Santoro,Symphony - Festival Mix,5K4E2JdpFhkBCNxcfptZdD,21,0cIOMm0D5wSyXMTcvnElUz
171,Ivan Gough,Dreaming,1dDCnkSSqSgOI9ailJwym3,21,5aBWZE8TOaaA9O50ENS3EM
172,ARTY,Take Your Time - Marcus Santoro Remix,2pLsVnXfhW3ELiFmgucOtT,16,1rSGNXhhYuWoq9BEz5DZGO
173,Marcus Santoro,Light The Fire (Mix Cut) - Original Mix,0t8dANyYgD3Au5ESv7Gh4c,8,0cIOMm0D5wSyXMTcvnElUz
174,Marcus Santoro,It's Not About You (RES006),2CVsxzg0GZCGcit508CxCQ,10,0cIOMm0D5wSyXMTcvnElUz
175,Marcus Santoro,Light The Fire - Edit,5uUasqTXWNtfUmR1DI4111,5,0cIOMm0D5wSyXMTcvnElUz
176,ManyFew,For You,1L2hVq9SNtXVaw1ayiVZmN,20,7oZdp9UWjuC68LeJSYeKZL
177,Marcus Santoro,Faces,49MfIYnf93azhdChbwz3wl,6,0cIOMm0D5wSyXMTcvnElUz
178,Timmo Hendriks,Salvation,3w5qOtXijob7FwFpWn2DB3,23,7rNPTious4qaZVcKH3cmX3
179,Shapov,The Way - Marcus Santoro Remix,1VBhtwJ9r2YXh9v8pYVLcX,15,36VSvhsPFTdsj1CtmatPiQ
180,Marcus Santoro,It's Not About You (Tritonia 333),1f22C2wfxH6cFf45E1ktE8,7,0cIOMm0D5wSyXMTcvnElUz
181,Marcus Santoro,It's Not About You (Tritonia 337) - BYOR Remix,0iXXWyqjQKGfz7qBRf6YVc,13,0cIOMm0D5wSyXMTcvnElUz
